3372 9769
114 347 B
52 293 A
107 453 B
230 719 A
340 456 A
315 703 B
84 581 A
659 719 B
199 325 A
336 453 B
309 570 B
243 572 B
47 349 B
4 671 B
184 456 A
505 633 A
340 659 B
527 571 B
180 404 B
15 357 A
401 527 A
185 394 A
110 426 B
146 210 B
361 617 B
223 244 A
391 662 A
327 517 B
348 405 B
533 540 B
12 169 B
276 695 B
40 367 B
183 629 B
505 516 B
478 523 B
233 658 A
423 435 B
132 574 A
702 707 A
386 427 A
38 337 A
52 109 B
87 602 A
688 709 A
35 246 B
632 696 A
566 638 A
393 573 A
511 516 B
678 710 A
121 407 B
500 648 A
475 543 B
413 539 B
566 652 B
412 524 A
185 341 B
590 655 B
556 617 A
640 687 A
31 93 B
469 715 A
114 288 B
20 682 B
540 665 B
274 657 A
438 493 B
548 617 B
389 613 B
146 636 A
251 389 B
546 672 B
161 271 A
437 711 B
678 688 B
443 544 A
165 174 A
596 705 B
141 517 A
355 384 A
605 707 A
121 671 B
198 556 A
450 468 B
409 648 A
327 504 A
211 653 A
660 687 B
684 709 A
287 694 A
459 619 B
262 408 B
525 644 A
528 546 B
711 712 A
25 173 A
302 370 A
296 637 B
489 605 A
33 560 B
477 504 A
518 682 A
534 697 B
631 683 B
617 622 B
131 403 B
94 461 B
569 586 A
47 492 B
436 668 B
695 702 B
407 580 B
493 665 A
253 513 A
588 603 B
112 707 B
375 482 B
380 592 A
21 327 A
437 447 B
433 527 B
609 664 A
656 658 A
419 461 A
91 516 B
325 345 B
172 244 A
486 712 B
654 660 B
268 355 A
513 518 A
542 553 A
221 595 B
300 483 A
433 490 A
7 331 A
300 717 A
599 631 B
506 701 B
225 673 A
106 536 B
637 701 B
415 609 A
365 366 B
48 159 A
28 227 A
511 540 A
25 591 A
168 198 B
623 695 B
544 630 A
415 461 B
631 717 A
450 462 A
608 637 A
651 685 A
476 685 A
553 594 A
67 429 B
239 554 A
251 454 A
612 698 A
255 678 A
75 604 B
47 242 A
342 353 A
545 664 A
582 704 B
511 637 A
688 691 A
401 451 B
344 667 B
539 584 A
586 599 A
433 574 B
547 711 A
109 123 A
653 720 B
360 716 A
651 679 A
629 714 A
466 571 A
146 423 A
182 684 B
412 549 B
16 614 B
552 562 B
714 720 B
347 420 A
355 682 B
636 645 A
632 693 B
104 353 B
630 691 A
525 702 A
142 580 B
257 453 B
471 586 B
479 595 B
13 366 B
679 683 A
233 410 A
438 657 B
655 706 A
69 162 B
141 424 B
687 702 A
120 580 B
162 421 B
236 607 A
445 451 B
580 657 A
657 692 B
121 178 B
350 681 B
28 577 A
184 523 A
527 668 A
438 710 B
522 621 B
646 655 B
319 483 A
701 711 A
198 574 B
108 407 A
12 706 A
651 698 A
467 608 A
371 477 A
647 719 A
52 303 B
120 435 B
179 266 A
414 539 B
648 675 A
173 674 A
407 467 A
405 431 A
368 492 A
69 151 A
569 706 B
662 713 A
354 673 A
271 455 B
47 431 A
344 693 B
417 673 A
650 683 A
351 395 A
25 646 A
282 526 B
692 700 B
162 395 B
146 277 A
442 450 B
435 618 B
435 707 A
267 475 A
75 359 A
153 574 A
364 545 A
349 412 B
621 626 B
525 547 A
136 530 B
365 705 B
440 565 A
28 709 B
534 565 A
648 695 B
418 688 B
451 672 A
459 634 B
557 648 B
163 270 B
636 645 A
244 286 B
454 491 B
269 658 A
4 98 A
145 460 B
10 64 A
440 522 A
431 668 A
449 681 B
676 684 A
333 597 A
660 694 A
155 590 B
687 707 B
449 454 A
52 354 A
106 427 B
97 445 A
313 630 A
82 580 B
85 480 B
508 575 B
668 693 B
27 712 A
27 48 B
353 470 B
616 682 A
102 674 A
74 196 B
685 714 A
145 635 B
245 427 A
244 578 A
92 177 B
513 537 B
148 237 B
607 719 A
693 703 A
646 677 B
550 604 B
57 434 B
193 574 B
593 707 B
353 491 B
169 544 A
581 657 A
424 595 B
353 668 B
243 673 B
499 700 A
110 603 B
696 718 A
255 656 B
165 528 B
218 225 B
248 323 B
341 587 B
138 249 A
152 217 B
378 380 B
9 25 B
376 717 B
376 708 B
270 408 B
553 635 A
522 633 B
463 636 B
402 592 A
353 646 B
155 702 A
652 691 A
567 667 A
127 175 B
219 683 B
268 329 A
212 623 B
50 350 B
353 675 B
233 426 B
519 613 B
345 682 A
513 697 A
586 687 A
470 524 B
416 546 B
688 694 B
673 683 A
255 593 A
641 654 B
32 500 A
453 590 B
229 517 B
353 691 B
339 482 B
288 318 A
719 720 B
286 336 A
515 675 B
329 573 B
220 580 A
580 582 B
711 712 A
82 556 A
180 462 A
182 199 B
586 593 A
647 675 A
628 647 A
559 705 B
348 615 B
138 398 B
395 487 B
523 561 B
585 599 B
217 472 A
315 669 A
468 662 A
625 701 A
355 518 A
489 590 B
562 612 B
279 572 A
588 675 B
697 714 A
557 703 B
643 695 B
471 612 A
459 657 B
454 579 B
515 609 B
21 114 A
34 417 B
346 588 B
639 706 B
350 598 B
104 460 B
567 694 A
84 689 B
338 627 A
299 319 A
675 705 B
90 117 B
117 413 B
110 195 A
149 240 A
316 393 B
89 141 A
528 631 B
302 385 A
299 611 B
239 587 B
422 548 B
98 269 B
636 676 A
645 656 A
544 693 B
25 386 B
569 670 B
367 687 B
317 644 B
149 461 B
359 399 A
214 583 A
153 164 B
209 345 B
599 672 A
405 502 B
358 687 A
641 679 B
439 677 A
391 517 B
437 440 A
30 171 B
235 687 B
526 610 B
94 562 B
587 628 A
210 698 A
570 582 B
343 453 A
167 702 A
52 344 B
129 519 A
582 717 B
199 369 B
660 707 B
526 580 B
374 502 B
342 449 A
159 680 A
572 616 B
670 698 B
291 648 B
214 616 B
36 572 B
48 333 B
237 401 A
657 699 A
360 447 A
39 477 A
309 489 A
574 674 A
298 317 A
23 349 A
161 561 A
196 645 B
558 662 A
480 655 A
616 645 A
35 234 B
503 595 B
325 330 A
85 97 B
264 309 B
679 701 B
709 714 B
259 679 A
432 659 B
436 633 A
166 664 B
631 708 B
179 611 B
227 508 A
431 601 B
461 622 B
562 575 A
171 425 B
569 600 A
570 706 B
561 674 A
639 703 A
692 716 A
424 684 B
218 694 A
448 694 A
629 672 A
104 600 B
446 470 A
82 360 B
140 297 B
29 562 A
210 258 A
200 304 A
568 612 B
380 409 B
627 639 A
390 452 B
138 425 B
131 219 B
597 684 B
530 644 A
453 541 A
106 615 A
177 425 A
563 644 B
697 711 B
125 408 B
328 487 B
91 399 B
498 528 A
292 601 B
351 591 B
73 123 B
584 652 A
373 642 A
250 500 B
371 569 B
182 396 A
356 716 A
320 613 A
147 448 B
83 635 A
128 618 A
374 405 A
692 716 B
127 435 B
482 573 B
28 380 B
481 645 A
431 606 B
524 529 B
252 633 B
196 541 A
436 648 A
654 693 B
481 682 A
34 615 A
699 719 B
661 685 A
22 41 B
659 684 A
489 563 A
229 258 B
153 381 B
158 234 A
96 681 B
44 709 A
630 692 B
381 383 B
434 565 A
141 329 A
377 410 A
352 701 A
282 636 B
533 555 B
246 278 A
338 503 B
606 705 B
332 679 B
572 590 B
598 599 A
2 149 B
621 668 B
287 707 B
337 516 B
594 660 A
632 635 B
51 188 A
552 702 A
353 494 A
181 298 B
54 314 B
650 718 A
593 699 B
408 647 A
686 715 B
291 706 A
226 477 B
186 630 B
110 508 A
472 495 A
451 614 B
449 712 B
155 720 B
605 715 B
266 581 B
1 515 B
211 698 B
29 269 A
568 625 B
438 709 A
341 659 A
26 399 B
95 181 B
180 371 A
430 468 A
601 709 B
250 680 A
149 304 A
605 679 A
657 686 B
268 588 A
169 536 A
253 660 A
353 406 B
702 715 B
116 334 B
309 596 B
271 296 B
312 446 B
572 618 B
346 672 A
488 572 A
63 644 A
532 686 B
64 537 B
280 570 A
147 704 A
148 227 B
410 720 B
254 697 B
593 687 B
625 669 B
395 396 A
454 574 B
359 595 B
433 590 A
357 641 A
319 417 A
136 441 B
333 593 B
125 699 A
694 715 B
90 616 B
608 610 B
458 696 B
567 639 A
277 404 A
683 705 A
65 501 B
646 697 B
353 392 B
20 185 A
3 345 B
94 697 B
96 334 A
171 271 A
447 642 B
510 531 B
217 401 A
476 667 B
411 656 A
296 336 A
513 709 B
209 489 B
264 691 B
467 683 B
302 394 A
163 437 B
50 588 A
652 665 A
411 595 A
376 449 A
626 673 A
366 586 A
60 672 B
283 292 A
414 656 A
632 638 A
573 580 B
588 716 A
702 712 A
260 480 A
199 315 B
583 701 A
714 719 A
555 556 B
682 686 B
26 42 B
581 704 A
660 706 A
658 718 A
135 667 B
539 645 A
242 256 A
461 692 A
173 678 A
491 526 A
671 696 A
380 567 A
166 403 A
334 388 B
479 561 A
608 663 B
163 374 A
185 291 A
670 711 B
294 371 B
531 666 B
545 674 B
51 351 B
262 379 B
503 646 A
650 715 A
521 561 A
90 393 A
340 518 A
217 532 B
421 605 B
615 709 B
353 426 A
25 672 B
703 713 B
637 684 B
16 240 B
543 640 B
545 663 A
205 522 A
622 661 B
528 588 B
477 677 A
306 568 A
689 699 A
472 506 B
8 362 A
35 534 B
499 547 B
411 490 A
652 703 A
645 657 A
525 663 B
162 666 B
407 594 B
161 506 A
4 546 B
462 711 A
411 558 A
251 407 B
25 55 A
607 691 A
15 440 A
652 684 A
132 693 A
338 353 A
161 601 A
366 644 B
678 719 B
302 344 A
247 443 B
637 676 A
372 614 B
534 624 A
357 529 B
392 658 A
108 115 B
16 537 B
517 679 B
106 275 A
623 704 B
625 693 B
435 693 B
214 240 A
545 654 A
308 586 B
363 623 B
504 625 B
464 695 A
386 428 A
592 692 B
384 671 B
353 650 A
2 325 A
619 712 B
75 395 B
318 552 A
31 478 B
341 595 A
72 137 B
685 713 B
5 565 B
508 575 B
515 633 B
255 636 B
362 520 A
191 443 A
488 647 A
301 366 A
229 694 B
109 178 A
485 607 A
696 703 A
75 484 A
570 586 A
149 528 A
465 663 B
350 358 B
64 417 B
213 411 B
374 415 B
114 451 A
264 434 B
67 128 A
628 664 B
565 618 B
57 605 A
507 641 B
631 644 B
459 667 A
509 551 A
249 504 A
463 557 A
516 544 B
342 344 A
185 623 A
656 710 B
609 649 B
593 652 B
392 438 A
22 225 B
401 584 A
212 425 B
238 515 B
28 402 B
321 710 B
248 313 B
178 541 B
200 569 B
378 579 A
485 608 B
141 309 A
146 331 A
689 691 B
20 227 B
528 571 A
662 698 B
97 478 B
29 212 A
680 686 A
528 696 A
672 673 A
604 693 A
554 567 A
320 426 B
425 458 B
674 717 A
525 581 B
182 377 B
251 621 B
408 662 A
168 324 B
461 481 A
321 716 A
187 710 B
137 612 A
584 609 A
285 574 A
505 694 B
431 625 B
287 689 A
379 687 B
466 635 A
268 462 A
491 706 A
327 572 A
160 308 B
274 627 A
254 350 A
612 685 B
24 498 B
127 247 B
86 310 A
652 692 A
652 672 A
339 580 A
664 665 A
535 568 B
98 539 A
235 253 A
275 577 B
114 485 A
81 573 A
214 405 A
187 595 B
143 358 B
221 314 B
241 367 B
525 596 B
436 481 A
708 711 A
403 513 A
396 533 B
5 582 B
641 650 B
415 529 B
317 558 A
42 477 B
143 204 A
136 489 B
292 437 B
96 456 A
577 613 B
139 503 B
54 388 B
75 492 A
674 693 A
81 686 A
452 558 B
223 618 A
8 629 A
335 510 B
250 453 A
465 675 A
528 630 B
61 131 B
230 346 A
213 270 B
62 575 A
93 192 A
653 701 A
253 715 B
375 489 A
534 718 B
313 675 B
526 558 A
358 383 B
272 663 A
678 716 A
522 594 A
76 245 A
275 409 B
383 486 B
279 630 A
156 691 A
514 550 A
218 246 B
672 718 A
706 716 B
622 670 A
12 191 A
352 374 A
22 499 B
154 692 B
287 627 B
411 548 B
554 620 B
607 629 B
423 665 B
481 640 B
212 625 B
554 705 B
323 447 B
141 719 A
347 411 A
679 688 A
344 392 B
39 372 A
143 667 A
661 712 A
514 698 A
671 718 B
631 662 B
653 690 A
495 622 B
686 694 A
528 638 B
154 513 A
617 653 A
261 481 A
716 717 B
39 512 A
625 706 B
651 670 A
350 489 B
672 720 B
682 684 A
74 129 B
341 518 B
70 136 A
714 718 B
3 544 B
249 323 A
253 327 A
568 642 A
141 414 B
692 709 A
157 368 A
113 559 A
147 585 A
193 387 A
239 268 A
105 217 B
420 638 B
706 714 A
173 349 A
291 693 B
292 467 A
678 699 A
336 431 A
67 715 A
170 323 B
627 666 B
430 704 B
538 586 B
627 671 A
561 604 A
22 704 B
145 343 B
677 688 A
448 598 B
183 598 B
641 699 A
263 702 A
13 84 A
220 493 A
429 667 A
196 211 A
363 507 B
708 711 B
641 684 B
300 693 A
369 598 A
670 707 A
471 647 B
253 295 B
109 405 A
627 706 B
403 678 A
666 704 A
564 644 A
316 534 B
468 611 B
665 699 B
469 549 B
635 692 A
117 585 B
323 668 A
94 611 A
517 614 A
135 679 B
280 509 B
448 664 A
380 518 A
353 623 A
470 555 B
65 600 B
630 679 A
139 395 B
287 423 A
224 597 A
658 687 A
121 669 A
153 242 A
556 578 B
249 559 A
444 488 A
136 256 A
529 559 B
371 496 B
128 333 A
411 508 B
396 709 B
89 586 B
529 626 B
643 706 A
569 671 A
416 701 A
341 526 A
300 459 A
98 336 B
38 672 A
473 630 A
75 527 A
299 359 A
176 178 B
288 422 A
25 426 A
341 543 A
116 365 B
108 482 A
50 464 B
189 268 A
230 440 B
471 678 B
505 506 B
330 399 A
380 428 A
718 719 A
584 715 B
685 688 B
676 712 A
174 279 B
205 676 A
288 550 A
96 522 B
454 631 B
60 101 B
173 639 A
181 574 B
307 577 B
83 636 B
404 642 A
370 675 B
555 593 A
299 369 B
206 566 A
166 557 A
117 196 A
711 718 B
374 469 B
308 381 A
116 312 A
229 484 A
687 700 A
654 705 A
36 612 B
306 548 A
213 510 B
623 625 B
554 661 B
415 436 B
579 695 A
590 650 B
454 505 B
275 558 A
32 551 B
156 653 A
396 639 B
144 503 A
82 323 A
117 244 B
121 334 B
229 667 A
535 583 B
535 596 A
439 604 B
522 664 A
470 479 A
652 691 A
38 511 A
566 680 B
624 651 A
499 543 B
209 246 A
99 484 B
625 663 A
367 592 A
281 401 A
434 625 B
44 566 B
353 476 B
95 708 A
633 691 A
491 495 B
427 524 A
593 671 B
286 720 A
3 453 B
71 696 B
50 583 A
556 639 A
415 703 B
134 363 B
31 656 A
211 218 B
599 615 B
294 613 A
516 647 A
413 647 B
120 300 B
73 513 B
566 590 B
534 715 B
628 682 A
467 679 A
293 527 A
433 502 B
395 485 B
592 645 B
325 516 B
146 686 A
455 540 A
531 601 B
42 665 A
188 658 A
47 51 A
570 646 A
302 690 B
8 294 B
356 573 B
548 647 A
546 590 B
515 589 A
54 282 A
650 672 A
369 592 B
154 245 B
603 640 B
176 468 A
200 221 B
541 552 A
167 333 A
625 701 A
115 309 B
20 622 B
158 188 B
85 252 A
195 439 B
336 629 A
461 529 B
568 658 A
634 713 A
370 422 A
324 547 B
405 602 A
394 519 A
242 259 A
546 692 B
335 480 A
422 441 A
547 592 B
579 687 B
685 705 A
710 719 B
418 590 A
706 715 B
533 555 B
253 671 B
208 421 A
82 581 A
648 685 A
370 487 B
152 575 A
538 658 B
454 662 A
289 364 B
714 719 A
291 604 A
156 567 B
370 386 B
613 693 A
95 662 B
703 711 A
46 508 A
545 618 A
592 685 A
260 591 B
532 695 A
129 440 A
511 516 B
150 580 B
518 675 A
454 665 A
462 566 A
275 695 A
453 600 B
227 360 B
561 594 B
400 438 B
705 714 B
570 682 B
201 371 B
206 416 B
649 680 B
61 355 B
83 178 B
481 530 B
318 342 B
397 657 A
416 439 B
438 583 B
371 373 B
388 511 A
520 620 A
702 708 B
412 650 B
235 683 B
680 691 B
315 580 A
246 684 A
75 613 B
113 581 A
350 362 B
375 622 A
56 476 B
230 703 A
608 692 B
505 720 A
505 536 A
397 532 A
710 712 A
369 534 A
17 314 B
466 468 A
54 430 B
514 693 A
451 546 B
500 607 A
703 718 A
12 342 A
603 714 A
580 583 A
559 716 B
449 627 B
506 665 A
513 524 A
562 643 A
301 525 B
356 387 A
289 570 A
424 453 B
61 517 B
668 683 A
604 622 B
147 412 B
261 637 B
187 635 B
443 560 B
439 487 B
154 504 A
206 232 B
400 628 B
330 688 B
643 649 B
677 679 A
442 616 A
513 666 A
50 66 B
548 663 B
578 612 A
319 497 B
353 579 B
175 526 B
103 475 B
196 658 B
317 564 B
348 353 B
353 629 B
353 628 B
152 675 B
15 681 B
394 556 A
631 663 A
19 538 A
182 443 B
703 707 A
445 719 B
424 521 B
125 381 B
467 691 A
414 545 B
208 662 B
37 542 B
563 636 B
153 545 A
456 541 A
127 554 B
493 631 A
196 633 A
169 613 A
93 134 B
15 638 B
117 198 B
697 720 B
599 666 A
394 436 B
407 660 B
122 245 A
21 583 A
719 720 B
287 303 A
9 603 B
504 515 B
280 476 A
348 394 B
327 538 B
176 296 B
189 355 A
663 681 B
177 399 A
50 329 B
182 626 A
224 318 B
395 510 B
299 504 A
666 676 A
255 564 A
274 283 A
716 718 A
127 172 B
180 393 B
406 519 A
334 669 B
184 502 A
572 704 A
513 517 B
664 670 A
534 658 A
279 628 B
701 715 A
145 490 B
67 195 B
504 576 A
334 694 B
65 442 A
214 538 A
261 555 B
684 695 A
323 484 B
578 632 A
186 623 A
137 225 B
456 580 B
465 582 A
442 520 B
273 458 A
323 349 A
160 484 B
224 309 A
434 535 A
250 301 A
283 403 A
417 610 B
675 690 A
242 269 A
229 346 B
375 616 A
386 472 A
317 361 A
607 619 A
97 578 A
65 345 B
605 649 A
709 716 B
601 667 B
91 499 B
236 307 A
391 453 B
59 501 A
391 491 B
55 344 A
455 584 A
223 545 B
149 669 B
388 434 B
627 669 A
677 679 B
168 568 A
507 626 A
103 377 B
26 386 A
367 381 A
533 588 A
467 489 B
149 664 B
301 627 B
353 667 A
105 522 A
422 671 B
15 443 A
561 663 A
288 441 A
614 713 A
495 606 B
58 441 B
134 573 A
15 175 A
702 717 B
161 683 A
234 719 A
702 719 A
518 691 B
613 708 A
660 670 B
361 459 A
290 416 A
436 525 A
532 565 A
187 600 B
50 164 A
370 523 B
123 599 B
589 664 A
131 462 A
153 277 B
291 473 A
407 494 B
479 518 A
139 164 B
261 607 B
105 676 B
161 583 B
575 638 A
406 432 A
514 695 B
432 547 A
429 543 A
135 718 B
382 470 A
474 573 B
160 322 A
351 586 A
500 652 B
98 628 A
596 634 B
670 701 A
452 652 B
8 630 B
98 542 B
526 661 A
627 681 A
476 514 B
172 579 B
296 481 A
97 190 A
429 532 B
34 582 A
314 554 B
169 631 B
619 714 B
57 590 B
635 655 A
407 472 B
631 717 B
182 352 B
504 551 B
373 533 B
38 497 B
33 539 B
477 680 A
623 673 B
420 480 A
320 413 A
368 384 A
52 450 A
61 208 A
204 233 B
651 663 A
563 601 A
483 566 A
544 623 A
372 503 A
444 454 A
460 675 A
715 720 A
174 384 B
472 517 A
87 312 B
700 719 A
169 349 A
619 686 A
118 240 A
473 511 B
607 686 B
369 556 B
293 654 B
488 530 A
195 246 A
477 493 A
367 390 B
355 461 B
445 591 A
447 590 B
666 702 A
36 337 A
599 705 B
24 330 B
455 653 A
465 624 A
713 715 A
502 603 B
556 695 B
195 412 B
72 658 A
259 584 B
605 624 B
586 610 A
80 163 B
91 369 B
461 593 A
9 319 B
28 258 B
166 270 A
629 672 A
269 277 B
117 175 A
38 51 A
354 546 B
460 476 A
532 639 B
96 110 A
336 369 B
86 680 A
432 531 A
342 483 B
322 481 B
715 716 A
520 691 A
349 498 B
353 403 A
230 424 B
134 429 B
5 507 A
383 504 A
450 476 B
43 95 B
107 398 B
599 692 A
572 632 B
217 525 A
326 483 B
690 706 A
306 408 A
269 601 A
273 619 A
201 433 B
240 573 B
562 691 A
468 619 A
453 551 B
176 671 A
527 599 B
584 648 A
57 649 A
390 669 B
448 587 A
87 210 A
232 286 B
242 716 A
229 497 B
354 563 B
687 701 A
224 598 A
690 717 B
594 692 B
208 435 B
398 528 B
314 473 A
254 522 B
484 580 B
439 477 A
260 602 A
509 616 B
548 598 B
588 713 A
27 169 A
125 455 A
117 629 A
392 606 A
455 614 B
228 675 A
311 583 A
637 641 A
528 575 B
591 602 B
559 667 A
518 684 A
325 486 B
661 686 A
673 718 A
686 719 A
497 657 A
482 507 A
476 527 A
262 330 B
132 247 A
47 255 B
275 646 B
348 710 A
181 641 B
676 681 A
279 421 A
522 592 A
659 714 A
259 565 B
638 665 A
307 532 B
323 585 A
286 291 A
254 679 A
522 530 A
472 681 B
431 684 A
568 709 B
306 630 A
228 492 A
602 669 B
91 297 A
94 610 B
173 324 A
263 267 A
345 372 B
476 557 B
442 621 A
218 246 B
681 711 A
161 483 B
715 716 B
109 390 A
232 617 A
588 598 B
315 521 B
651 671 B
613 666 B
209 451 A
525 606 A
142 350 A
271 554 B
672 692 B
542 631 B
314 663 B
326 540 B
380 622 A
652 690 A
437 718 A
340 623 B
111 338 A
562 616 B
317 392 B
284 717 A
108 219 B
301 594 B
411 632 A
54 280 B
94 582 B
66 336 A
408 410 B
323 599 B
572 637 B
688 711 B
418 676 B
423 527 A
276 651 A
609 710 A
50 232 A
655 684 A
662 695 A
48 433 B
575 653 B
498 678 A
616 717 B
331 595 A
403 620 B
67 566 A
193 399 B
312 435 B
458 537 B
206 331 B
627 672 A
586 684 A
490 678 B
81 412 A
650 659 B
53 132 A
220 550 A
588 661 B
353 394 A
266 377 A
373 632 A
247 356 B
369 704 A
356 655 A
380 720 B
372 639 B
533 614 A
61 148 A
434 560 A
410 695 A
523 698 B
97 545 B
549 608 B
376 539 B
421 440 A
629 632 A
183 265 B
651 715 A
507 612 B
348 545 A
415 608 B
188 377 B
52 631 B
546 669 A
679 686 B
671 684 A
607 686 B
575 584 B
657 707 A
180 578 B
308 469 B
253 640 A
341 572 A
428 715 A
409 700 B
209 587 A
455 525 A
426 555 B
180 515 A
341 614 B
147 365 B
344 433 A
531 705 A
255 335 A
56 257 A
81 639 A
553 700 B
654 719 A
195 495 A
59 261 A
400 406 B
344 499 A
486 591 A
577 590 B
165 194 B
136 459 B
568 705 A
353 645 A
1 122 A
142 680 B
328 595 A
702 717 A
657 696 B
159 457 A
203 296 B
421 453 A
366 621 B
326 368 B
201 212 B
71 123 B
13 236 B
272 531 B
337 556 B
2 198 B
498 580 B
19 397 A
44 167 A
124 439 A
432 562 B
682 715 B
606 635 B
487 588 A
176 592 A
344 405 B
510 634 A
78 460 A
240 621 B
6 61 A
593 719 B
421 591 A
288 350 A
290 533 A
646 681 A
296 484 A
356 383 A
362 564 B
13 15 B
74 345 A
72 271 B
374 593 B
410 577 B
125 280 A
292 703 A
170 214 A
716 720 A
416 501 A
266 383 B
212 551 B
596 646 B
638 718 B
265 395 A
213 660 A
60 699 B
200 614 B
660 714 B
114 270 A
142 379 A
354 557 A
653 710 B
143 470 B
674 677 A
388 495 B
235 274 A
708 716 B
197 434 B
402 548 B
162 267 A
318 450 B
293 442 A
527 706 B
682 720 B
382 704 A
86 474 A
681 689 A
553 619 B
654 666 A
234 259 A
423 718 B
115 387 A
557 588 B
371 430 A
373 600 B
323 382 A
423 609 A
339 555 B
470 555 B
373 427 A
402 659 B
186 385 A
271 359 A
310 364 A
365 498 A
397 448 A
656 691 B
546 554 B
496 528 A
79 663 B
50 523 A
593 704 A
361 529 A
625 626 A
497 661 A
185 663 B
405 483 A
306 464 A
20 602 A
26 201 A
427 652 B
328 526 A
25 698 B
74 644 B
514 522 A
537 636 B
429 624 A
127 490 A
259 443 B
248 396 A
120 156 B
382 501 A
351 366 B
479 637 A
498 633 A
54 117 A
517 717 A
147 538 A
528 577 A
248 500 B
31 93 B
8 222 A
1 362 A
572 576 B
403 679 B
176 260 A
31 560 B
671 681 A
113 432 A
696 719 B
315 316 B
472 688 B
365 402 A
333 716 B
186 431 B
569 678 A
252 615 A
659 703 A
303 452 A
442 503 A
427 579 A
496 661 A
145 667 B
639 644 A
617 660 A
300 350 A
204 634 A
575 576 B
28 259 B
636 664 B
524 677 A
638 673 B
446 585 A
353 680 A
113 147 A
541 683 B
615 648 A
448 494 B
193 451 A
357 431 A
326 389 A
85 669 B
479 656 A
576 584 B
417 566 B
521 625 A
400 610 A
136 608 A
123 708 A
156 431 A
492 709 A
305 699 A
49 690 B
483 660 A
58 442 B
547 586 A
661 665 A
52 515 A
491 719 A
436 477 A
308 426 A
307 336 B
341 510 A
373 441 B
661 704 B
525 700 B
637 708 A
223 356 A
48 331 B
14 703 A
73 376 B
698 704 A
617 646 A
218 353 A
94 244 A
476 606 A
16 405 B
156 409 B
230 277 A
581 705 B
195 663 A
677 680 B
560 583 B
199 375 A
118 537 B
460 702 A
456 670 B
487 681 B
282 498 A
138 568 B
660 714 A
702 703 B
461 470 A
306 574 A
115 640 A
166 475 A
697 714 A
69 673 A
556 594 A
713 714 B
621 633 A
380 427 A
211 641 B
81 88 B
245 376 A
626 717 B
651 687 B
429 624 A
457 580 A
62 567 A
539 582 B
337 443 B
157 199 B
483 575 B
552 626 B
252 540 B
165 664 A
537 542 A
634 706 B
395 717 B
671 709 B
237 479 B
127 305 B
237 292 B
369 541 A
44 618 B
483 570 B
107 632 B
568 596 A
556 715 A
144 166 B
391 559 A
151 254 A
649 686 B
126 331 B
32 94 B
414 553 A
200 530 A
672 674 A
74 174 A
404 539 A
132 164 A
658 666 B
168 686 A
697 704 B
433 590 B
443 646 A
404 479 B
536 597 A
583 624 B
387 497 A
75 467 A
503 575 A
560 601 B
289 491 B
663 679 B
275 638 A
331 422 A
687 713 B
69 365 B
175 667 B
65 210 B
353 542 B
27 438 B
84 448 A
715 718 A
395 575 B
646 657 A
338 549 A
299 588 B
12 341 A
473 605 B
599 703 B
499 655 A
223 320 A
439 455 B
386 513 A
168 295 B
130 360 A
259 598 B
485 699 B
367 373 B
28 542 A
469 694 A
258 500 B
197 607 A
548 589 B
689 698 B
575 602 A
608 676 A
310 701 B
103 558 A
365 611 B
596 604 A
353 406 A
352 609 B
162 653 B
643 706 B
687 696 A
211 599 A
695 700 B
94 133 A
602 657 A
440 644 B
554 603 A
409 547 B
574 623 B
322 438 B
537 599 B
509 655 A
268 548 A
399 459 B
337 705 A
175 416 B
131 506 B
653 715 B
293 621 B
478 620 A
12 360 B
666 674 A
377 498 B
325 544 A
682 684 A
212 632 A
124 425 A
168 561 A
236 359 A
168 183 A
121 495 A
353 359 B
270 299 A
647 703 B
308 586 B
469 570 A
643 714 B
6 497 A
78 358 B
621 661 A
262 699 A
584 711 A
153 408 B
434 716 A
18 187 B
77 712 B
379 524 A
344 625 A
588 617 B
649 693 A
10 655 B
636 710 B
691 704 B
676 704 A
76 666 B
481 501 A
365 371 B
516 546 B
678 703 A
619 719 A
317 336 B
310 506 B
292 348 A
663 685 B
581 718 A
493 571 A
465 495 B
92 438 A
496 630 B
45 370 B
188 683 A
11 311 A
85 529 B
674 696 A
208 572 A
648 681 A
109 456 B
180 638 B
262 691 A
638 674 B
224 480 A
529 701 A
36 495 B
427 585 B
522 660 A
194 601 B
207 282 A
500 553 A
489 642 A
332 446 A
196 477 B
191 676 B
454 549 A
3 654 A
336 488 A
472 701 B
630 635 B
637 672 A
666 676 A
518 670 A
393 513 A
333 669 A
439 584 A
129 247 B
461 627 A
362 368 B
477 700 A
355 380 B
521 611 A
564 649 B
485 578 A
631 670 A
296 391 A
675 689 B
322 506 A
531 632 A
236 257 B
597 652 B
666 672 B
686 698 A
146 682 B
120 142 B
691 720 B
385 494 A
446 574 B
39 676 A
84 117 B
464 685 B
121 643 A
492 690 A
153 705 B
542 718 A
468 473 B
502 653 B
220 339 A
461 597 A
152 409 B
585 602 B
52 505 B
435 577 B
530 673 B
710 719 A
665 674 A
382 655 A
505 719 A
174 217 B
33 159 A
279 317 B
637 647 B
157 584 B
387 700 A
709 711 B
572 718 A
185 235 B
121 414 A
510 520 A
152 205 B
713 720 A
634 639 A
123 657 B
107 552 B
577 670 B
272 309 B
